Date,BrandName,ProductName,Reason,Company
2010-12-30T00:00:00.0000000,"RockHard Extreme, Passion Coffee",Rock Hard Extreme and Passion Coffee Dietary Supplements ,Unapproved drugs - contain an analog of Sildenafil,Drive Total Energy
2010-12-30T00:00:00.0000000,Fruta Planta,Fruta Planta Capsules ,Unapproved new drug - contains sibutramine,PRock Marketing LLC
2010-12-30T00:00:00.0000000,,Albuterol Inhalation Solution ,Incorrect concentration listed,The Ritedose Corporation
2010-12-30T00:00:00.0000000,Acetadote,Acetadote® (acetylcysteine) Injection ,May contain particulates,Cumberland Pharmaceuticals Inc
2010-12-29T00:00:00.0000000,Tiny Greens,Sprouts ,Salmonella,Tiny Greens
2010-12-29T00:00:00.0000000,AngioSculpt,PTA Scoring Balloon Catheter ,"distal bond failure which has resulted in peeling of the bond and/or detachment of the distal end of the scoring element, wherein the proximal end of the scoring element remains secured to the catheter",AngioScore Incorporated
2010-12-28T00:00:00.0000000,Mexicantown,Cuernos (croissants) ,Undeclared milk,Mexicantown Wholesale
2010-12-28T00:00:00.0000000,Little Bear,Fresh produce ,Salmonella,J&D; Produce
2010-12-24T00:00:00.0000000,Whole Food Market (WFM),ginger bread houses ,Staphylococcus aureus,Whole Foods Market
2010-12-24T00:00:00.0000000,Whole Food Market (WFM),Bakery Products and Prepared Foods ,Staphylococcus aureus,Whole Foods Market
2010-12-23T00:00:00.0000000,Kellogg's,Rice Krispies Treats Holiday Village Kit ,Undeclared egg,"Brand Castle, LLC"
2010-12-23T00:00:00.0000000,,Frozen capelin fish ,The fish is uneviscerated and poses a potential hazard for botulism.,JFC International Inc.
2010-12-23T00:00:00.0000000,American Regent,"Sodium Bicarbonate Injection, USP, 7.5% and 8.4%, 50 mL Single Dose Vials ",May contain particulates,American Regent
2010-12-23T00:00:00.0000000,Publix Bakery,Coconut Macaroons (Coquitos) ,Undeclared milk,South Florida Bakery
2010-12-23T00:00:00.0000000,NanoCross,Dilation catheter ,May crack or break during use,ev3
2010-12-22T00:00:00.0000000,"RockHard Weekend, Pandora",RockHard Weekend and Pandora dietary supplements ,Unapproved drug - contain an analog of Sildenafil,RockHard Laboratories
2010-12-22T00:00:00.0000000,,Glucose test strips ,may give falsely low blood glucose results,Abbott Diabetes Care
2010-12-22T00:00:00.0000000,Lipitor,Lipitor ,off odor,Pfizer
2010-12-20T00:00:00.0000000,"Whole Foods Market, Sally Jackson",Cheese ,E. coli O157:H7,Whole Foods Market
2010-12-20T00:00:00.0000000,Bright Water,Seafood dip and spread ,Listeria monocytogenes,Bright Water Seafood
2010-12-20T00:00:00.0000000,,"Dexamethasone Sodium Phosphate Injection, USP, 4 mg/mL ",May contain particulates,American Reagent
2010-12-18T00:00:00.0000000,Brand 1 - Pet Pride; Brand 2 - Old Yeller; Brand 3 - Kroger Value,Select packages of dog & cat food ,Products may contain aflatoxin.,Kroger
2010-12-17T00:00:00.0000000,,Cheese ,E. coli O157:H7,Sally Jackson Cheese
2010-12-17T00:00:00.0000000,Yours Truly,Frozen Dessert Cones ,Undeclared milk,"Tofutti Brands, Inc."
2010-12-17T00:00:00.0000000,Upsides,Orzo Toscano ,Undeclared milk and soy,"YNot Foods, Inc."
2010-12-10T00:00:00.0000000,"Atlas, Tropical, Harris Teeter",Walnuts ,Salmonella,Tropical Nut & Fruit
